#options: 1280x720 fps=24000/1001 timebase=1/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=3 lookahead_threads=1 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=48 keyint_min=25 scenecut=0 intra_refresh=0 rc_lookahead=48 rc=abr mbtree=1 bitrate=2400 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4800 vbv_bufsize=9600 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2002 cpbdur:2002 q:25.68 aq:5.84 tex:361 mv:949 misc:6434 imb:3600 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2002 cpbdur:2002 q:25.65 aq:12.53 tex:692 mv:514 misc:402 imb:165 pmb:13 smb:3422 d:- ref:0 ;
in:2 out:2 type:B dur:2002 cpbdur:2002 q:25.68 aq:9.00 tex:48 mv:112 misc:384 imb:0 pmb:178 smb:3422 d:s ref:0 ;
in:1 out:3 type:b dur:2002 cpbdur:2002 q:25.68 aq:11.00 tex:0 mv:0 misc:232 imb:0 pmb:0 smb:3600 d:s ref:0 ;
in:3 out:4 type:b dur:2002 cpbdur:2002 q:25.68 aq:11.00 tex:33 mv:99 misc:420 imb:0 pmb:88 smb:3512 d:- ref:0 ;
in:5 out:5 type:P dur:2002 cpbdur:2002 q:21.65 aq:7.60 tex:2754 mv:1644 misc:874 imb:1772 pmb:11 smb:1817 d:s ref:0 w:5,89,-28 ;
in:8 out:6 type:P dur:2002 cpbdur:2002 q:13.65 aq:0.45 tex:11773 mv:2816 misc:851 imb:2242 pmb:72 smb:1286 d:s ref:0 w:5,59,-13 ;
in:6 out:7 type:B dur:2002 cpbdur:2002 q:21.60 aq:4.76 tex:493 mv:859 misc:664 imb:123 pmb:104 smb:3373 d:s ref:0 ;
in:7 out:8 type:b dur:2002 cpbdur:2002 q:21.54 aq:8.61 tex:1455 mv:1566 misc:883 imb:118 pmb:278 smb:3204 d:- ref:0 ;
in:12 out:9 type:P dur:2002 cpbdur:2002 q:7.56 aq:0.06 tex:40362 mv:5899 misc:491 imb:2853 pmb:65 smb:682 d:s ref:0 w:0,2,-16,0,1,0,2,-128 ;
in:10 out:10 type:B dur:2002 cpbdur:2002 q:13.59 aq:1.87 tex:36369 mv:5449 misc:1526 imb:567 pmb:923 smb:2110 d:s ref:0 ;
in:9 out:11 type:b dur:2002 cpbdur:2002 q:13.62 aq:1.99 tex:20632 mv:2428 misc:1540 imb:147 pmb:618 smb:2835 d:s ref:0 ;
in:11 out:12 type:b dur:2002 cpbdur:2002 q:13.55 aq:2.73 tex:39506 mv:4103 misc:1775 imb:237 pmb:1200 smb:2163 d:- ref:0 ;
in:15 out:13 type:P dur:2002 cpbdur:2002 q:4.84 aq:0.00 tex:63515 mv:7707 misc:922 imb:1980 pmb:157 smb:1463 d:s ref:0 w:6,97,-8 ;
in:13 out:14 type:B dur:2002 cpbdur:2002 q:7.54 aq:0.22 tex:32575 mv:4876 misc:1869 imb:361 pmb:527 smb:2712 d:s ref:0 ;
in:14 out:15 type:b dur:2002 cpbdur:2002 q:7.52 aq:1.22 tex:51470 mv:6383 misc:1859 imb:480 pmb:1084 smb:2036 d:- ref:0 ;
in:19 out:16 type:P dur:2002 cpbdur:2002 q:4.17 aq:0.01 tex:90029 mv:9924 misc:519 imb:2592 pmb:155 smb:853 d:s ref:0 w:6,95,-8 ;
in:17 out:17 type:B dur:2002 cpbdur:2002 q:4.84 aq:0.00 tex:96641 mv:12162 misc:1317 imb:1009 pmb:1088 smb:1503 d:s ref:0 ;
in:16 out:18 type:b dur:2002 cpbdur:2002 q:4.84 aq:0.35 tex:74222 mv:6243 misc:2135 imb:423 pmb:1131 smb:2046 d:s ref:0 ;
in:18 out:19 type:b dur:2002 cpbdur:2002 q:4.83 aq:0.35 tex:84382 mv:8945 misc:2153 imb:518 pmb:1034 smb:2048 d:- ref:0 ;
in:23 out:20 type:P dur:2002 cpbdur:2002 q:3.43 aq:0.01 tex:125930 mv:10974 misc:456 imb:2650 pmb:46 smb:904 d:s ref:0 ;
in:21 out:21 type:B dur:2002 cpbdur:2002 q:4.16 aq:0.32 tex:110000 mv:12439 misc:1713 imb:816 pmb:1014 smb:1770 d:s ref:0 ;
